index,name,parent,posx,posy,posz,rotx,roty,rotz,scalex,scaley,scalez
1,Tree,-1,0,0,0,270,217.1209,0,0.03333335,0.03333335,0.05
2,CenterTree,1,0,0,-0.2000001,270,217.1209,0,1,1,1
3,tree,1,90.41689,7.315983,0,273.6899,90.0753,65.00021,1.993218,1.998521,1.002075
4,leaves,3,38.50253,-63.89223,30.21465,-4.268869E-07,-5.122642E-06,-1.707547E-06,5,3,5
5,mushroom,3,-2.269248,1.129926,0.1018382,349.595,9.999997,341.999,0.3,0.3,0.3
6,mushroom,3,-1.61614,0.1862717,0.08938426,349.595,9.999997,341.999,0.3,0.3,0.3
7,mushroom,3,-0.8083267,-0.9600616,0.07341182,349.595,9.999997,341.999,0.3,0.3,0.3
8,mushroom,3,-1.264466,1.750124,0.02620673,349.595,9.999997,341.999,0.3,0.3,0.3
9,mushroom,3,1.149359,-0.9104305,-0.04236472,349.595,9.999997,341.999,0.3,0.3,0.3
10,mushroom,3,0.9458419,1.191585,0.03248984,349.595,9.999997,341.999,0.3,0.3,0.3
11,flower,3,2.542974,0.3988317,0.1411201,270.6662,112.7208,94.35573,30,150,1
12,flower,3,-3.109823,4.818225,0.3410473,270.6662,112.7208,94.35573,30,150,1
13,tree (1),1,53.07555,45.43593,0.5199957,273.6899,90.0753,65.00021,1.993218,1.998521,1.002075
14,leaves,13,38.50253,-63.89223,30.21465,-4.268869E-07,-5.122642E-06,-1.707547E-06,5,3,5
15,mushroom,13,-2.269248,1.129926,0.1018382,349.595,9.999997,341.999,0.3,0.3,0.3
16,mushroom,13,-1.61614,0.1862717,0.08938426,349.595,9.999997,341.999,0.3,0.3,0.3
17,mushroom,13,-0.8083267,-0.9600616,0.07341182,349.595,9.999997,341.999,0.3,0.3,0.3
18,mushroom,13,-1.264466,1.750124,0.02620673,349.595,9.999997,341.999,0.3,0.3,0.3
19,mushroom,13,1.149359,-0.9104305,-0.04236472,349.595,9.999997,341.999,0.3,0.3,0.3
20,mushroom,13,0.9458419,1.191585,0.03248984,349.595,9.999997,341.999,0.3,0.3,0.3
21,flower,13,2.542974,0.3988317,0.1411201,270.6662,112.7208,94.35573,30,150,1
22,flower,13,-3.109823,4.818225,0.3410473,270.6662,112.7208,94.35573,30,150,1
23,tree (2),1,14.66867,71.34441,1.199994,270,-2.414836E-06,0,2,2,1
24,tree (3),1,-14.73811,93.60145,0.2999926,270,-2.414836E-06,0,2,2,1
25,leaves,24,38.50253,-63.89223,30.21465,0.004842978,204.9246,3.689934,5,3,5
26,mushroom,24,-2.269248,1.129926,0.1018382,348.9807,214.2359,345.702,0.3,0.3,0.3
27,mushroom,24,-1.61614,0.1862717,0.08938426,348.9807,214.2359,345.702,0.3,0.3,0.3
28,mushroom,24,-0.8083267,-0.9600616,0.07341182,348.9807,214.2359,345.702,0.3,0.3,0.3
29,mushroom,24,-1.264466,1.750124,0.02620673,348.9807,214.2359,345.702,0.3,0.3,0.3
30,mushroom,24,1.149359,-0.9104305,-0.04236472,348.9807,214.2359,345.702,0.3,0.3,0.3
31,mushroom,24,0.9458419,1.191585,0.03248984,348.9807,214.2359,345.702,0.3,0.3,0.3
32,flower,24,2.542974,0.3988317,0.1411201,273.085,110.2222,301.7706,30,150,1
33,flower,24,-3.109823,4.818225,0.3410473,273.085,110.2222,301.7706,30,150,1
34,tree (4),1,-58.61211,64.92937,0.2999949,270,-2.414836E-06,0,1.399999,2,0.6999999
35,leaves,34,38.50253,-63.89223,30.21465,0.004842978,204.9246,3.689934,5,3,5
36,mushroom,34,-1.79,0.58,-0.482,348.9807,214.2359,345.702,0.3,0.3,0.3
